compissueURI,component,intissueURI,integrated
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Inflation>","""Inflation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#VolatilityRiskAndStability>","""Volatility, Risk and Stability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketPerformance>","""Market Performance""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarineEconomics>","""Marine Economics""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ResearchAndDevelopment>","""Research and Development""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RetainedEarnings>","""Retained Earnings""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OtherTradeRestrictions>","""Other Trade Restrictions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AccessToFinance>","""Access to Finance""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EnergyProduction>","""Energy Production""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TechnologyInnovation>","""Technology Innovation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FinancialRisk>","""Financial Risk""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Insurance>","""Insurance""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Investment>","""Investment""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WomensAccessToFinancialCapital>","""Women's Access to Financial Capital""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketSupport>","""Market Support""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#BankingSystems>","""Banking Systems""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeSmoothing>","""Income Smoothing""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EconomicParticipation>","""Economic Participation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalDebt>","""Agricultural Debt""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TariffsTaxesSubsidies>","""Tariffs, Taxes, Subsidies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeGeneration>","""Income Generation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CapitalProductivity>","""Capital Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Finance>","""Finance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Grasslands>","""Grasslands""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#DisastersEconomicImpact>","""Disasters - Economic Impact""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodAvailability>","""Food Availability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalSubsidies>","""Agricultural Subsidies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OzoneDepletion>","""Ozone Depletion""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#QuotasAndQuantitativeRestrictions>","""Quotas and Quantitative Restrictions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurity>","""Food Security""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Grazing>","""Grazing""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalValueAdded>","""Agricultural Value Added""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IndigenousTechnologyAndKnowledge>","""Indigenous Technology and Knowledge""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ProtectedAreaEncroachment>","""Protected Area Encroachment""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CashFoodCrops>","""Cash Food Crops""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#InputProductivity>","""Input Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurityHousehold>","""Food Security - Household""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Soilsquality>","""Soils--Quality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#VeterinaryServices>","""Veterinary Services""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#StapleFoodProduction>","""Staple Food Production""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterProductivity>","""Water Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Contamination>","""Contamination""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AirPollution>","""Air Pollution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Pesticides>","""Pesticides""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Profitability>","""Profitability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Irrigation>","""Irrigation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalExports>","""Agricultural Exports""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#InvasiveSpecies>","""Invasive Species""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Prices>","""Prices""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SourcesOfFinancialCapital>","""Sources of Financial Capital""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EnergyProductivity>","""Energy Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Diet>","""Diet""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Machinery>","""Machinery""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterUse>","""Water Use""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SpeciesIntroduction>","""Species Introduction""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SoilSalinization>","""Soil Salinization""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#BasicNeeds>","""Basic Needs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PharmaceuticalProducts>","""Pharmaceutical Products""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AnimalProduction>","""Animal Production""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandProductivity>","""Land Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Desertification>","""Desertification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Seed>","""Seed""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#InorganicFertilizers>","""Inorganic Fertilizers""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSafety>","""Food Safety""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandscapeChanges>","""Landscape Changes""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ChildLabor>","""Child Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ResearchAndDevelopment>","""Research and Development""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Agrobiodiversity>","""Agrobiodiversity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OtherTradeRestrictions>","""Other Trade Restrictions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalEducation>","""Agricultural Education""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Pollination>","""Pollination""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalImports>","""Agricultural Imports""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LivestockManagement>","""Livestock Management""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#DiseasesAndPests>","""Diseases and Pests""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GreenhouseGasEmissions>","""Greenhouse Gas Emissions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IntraregionalTradedomesticTrade>","""Intraregional Trade (Domestic Trade)""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RatesOfWasteProduction>","""Rates of Waste Production""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSecurityNational>","""Food Security - National""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborSupply>","""Labor Supply""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ClimateChange>","""Climate Change""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AirQuality>","""Air Quality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandUse>","""Land Use""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodPolicies>","""Food Policies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Aquaculture>","""Aquaculture""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalProductionCosts>","""Agricultural Production Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LivestockFeed>","""Livestock Feed""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CropYield>","""Crop Yield""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborProductivity>","""Labor Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CroppingSystems>","""Cropping Systems""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WomenFarmers>","""Women Farmers""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterUseEfficiency>","""Water Use Efficiency""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UndernutritionChronic>","""Undernutrition - Chronic""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OrganicFertilizers>","""Organic Fertilizers""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodWastes>","""Food Wastes""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodProvisioning>","""Food Provisioning""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EthicalTreatmentOfAnimals>","""Ethical Treatment of Animals""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WasteComposting>","""Waste Composting""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#NutritionalValue>","""Nutritional Value""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalProductivity>","""Agricultural Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForcedLabor>","""Forced Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TariffsTaxesSubsidies>","""Tariffs, Taxes, Subsidies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UndernutritionAcute>","""Undernutrition - Acute""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IncomeGeneration>","""Income Generation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborCosts>","""Labor Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Fisheries>","""Fisheries""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FishingAndOverfishing>","""Fishing & Overfishing""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CapitalProductivity>","""Capital Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#FoodProduction>","""Food production"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Migration>","""Migration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MigrantLabor>","""Migrant Labor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PopulationDynamics>","""Population Dynamics""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterInfrastructure>","""Water Infrastructure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SeaLevelRise>","""Sea Level Rise""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PopulationDensity>","""Population Density""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandscapeChanges>","""Landscape Changes""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Refugees>","""Refugees""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Urbanization>","""Urbanization""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#UrbanPoor>","""Urban Poor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RatesOfWasteProduction>","""Rates of Waste Production""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborSupply>","""Labor Supply""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgeDistribution>","""Age Distribution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RuralPoor>","""Rural Poor""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketAccess>","""Market Access""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SexRatio>","""Sex Ratio""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#GeographicalDistribution>","""Geographical distribution"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EmploymentAtWill>","""Employment at Will""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Governance>","""Governance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodAvailability>","""Food Availability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Governance>","""Governance"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Migration>","""Migration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Governance>","""Governance"""
